city,day,hour,area,demand_kl,leakage_pct,pressure_psi,temperature_c,is_weekend,is_anomaly
Pune,0,0,Pimpri,31.99,61.65,56.53,36.09,0,0
Pune,0,0,Hadapsar,23.62,47.53,47.93,27.9,0,0
Pune,0,0,Wanowrie,19.57,33.22,39.93,27.75,0,0
Pune,0,0,Kothrud,18.39,18.14,47.08,21.44,0,0
Pune,0,0,Shivajinagar,16.47,11.44,48.19,30.44,0,0
Pune,0,0,Aundh,18.9,34.37,54.04,27.46,0,0
Pune,0,0,Yerwada,17.95,45.36,57.76,25.12,0,0
Pune,0,0,Swargate,26.11,14.98,53.53,33.53,0,0
Pune,0,1,Pimpri,29.54,61.25,41.65,27.12,0,0
Pune,0,1,Hadapsar,17.11,42.8,44.09,30.54,0,0
Pune,0,1,Wanowrie,15.89,39.53,59.22,33.73,0,0
Pune,0,1,Kothrud,19.27,18.44,41.44,34.4,0,0
Pune,0,1,Shivajinagar,11.77,12.01,57.69,35.42,0,0
Pune,0,1,Aundh,17.15,31.81,58.81,33.18,0,0
Pune,0,1,Yerwada,38.6,51.91,33.66,33.29,0,1
Pune,0,1,Swargate,15.35,11.25,52.64,22.05,0,0
Pune,0,2,Pimpri,27.86,58.26,46.48,32.97,0,0
Pune,0,2,Hadapsar,19.27,43.75,58.41,31.32,0,0
Pune,0,2,Wanowrie,24.09,38.44,49.83,32.69,0,0
Pune,0,2,Kothrud,51.26,16.34,54.07,31.04,0,1
Pune,0,2,Shivajinagar,10.54,13.95,49.6,26.79,0,0
Pune,0,2,Aundh,22.16,26.94,45.4,35.62,0,0
Pune,0,2,Yerwada,10.32,47.93,52.42,39.85,0,0
Pune,0,2,Swargate,16.91,11.35,47.98,28.31,0,0
Pune,0,3,Pimpri,34.57,63.88,57.54,26.36,0,0
Pune,0,3,Hadapsar,28.12,48.48,45.84,30.31,0,0
Pune,0,3,Wanowrie,14.64,36.58,52.7,27.99,0,0
Pune,0,3,Kothrud,20.14,19.09,56.54,25.11,0,0
